Constituency,Const. No.,Parliament Constituency,Leading Candidate,Trailing Candidate,Margin,Status,State ID,State ,Region
Nagpur,10,NAGPUR(10),NITIN JAIRAM GADKARI,VIKAS THAKRE,137603,Result Declared,S13,Maharashtra,West India
Ambedkar Nagar,55,AMBEDKARNAGAR(55),LALJI VERMA,RITESH PANDEY,137247,Result Declared,S24,Uttar Pradesh,North India
Paschim Champaran,2,PASCHIMCHAMPARAN(2),DR.SANJAY JAISWAL,MADAN MOHAN TIWARI,136568,Result Declared,S04,Bihar,East India
PUDUCHERRY,1,PUDUCHERRY(1),VE VAITHILINGAM,A NAMASSIVAYAM,136516,Result Declared,U07,Puducherry,South India
JAMMU,5,JAMMU(5),JUGAL KISHORE,RAMAN BHALLA,135498,Result Declared,U08,Jammu and Kashmir,North India
Junagadh,13,JUNAGADH(13),CHUDASAMA RAJESHBHAI NARANBHAI,JOTVA HIRABHAI ARJANBHAI,135494,Result Declared,S06,Gujarat,West India
Lucknow,35,LUCKNOW(35),RAJ NATH SINGH,RAVIDAS MEHROTRA,135159,Result Declared,S24,Uttar Pradesh,North India
KHARGONE,27,KHARGONE(27),GAJENDRA SINGH PATEL,PORLAL BATHA KHARTE,135018,Result Declared,S12,Madhya Pradesh,Central India
Aurangabad,19,AURANGABAD(19),BHUMARE SANDIPANRAO ASARAM,IMTIAZ JALEEL SYED,134650,Result Declared,S13,Maharashtra,West India
Parbhani,17,PARBHANI(17),JADHAV SANJAY ( BANDU ) HARIBHAU,JANKAR MAHADEV JAGANNATH,134061,Result Declared,S13,Maharashtra,West India
Kalahandi,11,KALAHANDI(11),MALVIKA DEVI,LAMBODAR NIAL,133813,Result Declared,S18,Odisha,East India
Idukki,13,IDUKKI(13),ADV. DEAN KURIAKOSE,ADV. JOICE GEORGE,133727,Result Declared,S11,Kerala,South India
Bolangir,10,BOLANGIR(10),SANGEETA KUMARI SINGH DEO,SURENDRA SINGH BHOI,132664,Result Declared,S18,Odisha,East India
Hindupur,20,HINDUPUR(20),B K PARTHASARATHI,J SHANTHA,132427,Result Declared,S01,Andhra Pradesh,South India
Peddapalle,2,PEDDAPALLE(2),VAMSI KRISHNA GADDAM,SRINIVAS GOMASE,131364,Result Declared,S29,Telangana,South India
Robertsganj,80,ROBERTSGANJ(80),CHHOTELAL,RINKI SINGH,129234,Result Declared,S24,Uttar Pradesh,North India
Bidar,7,BIDAR(7),SAGAR ESHWAR KHANDRE,BHAGWANTH KHUBA,128875,Result Declared,S10,Karnataka,South India
